wavfile,ground_truth,ASR_recognition,wer,cer,sdr,sir,sar
sim_NM_amp_babble_pd12_h10_5,The play seems dull and quite stupid.,play seems problem quite stupid.,0.42857142857142855,0.32432432432432434,[-24.29561234],[inf],[-24.29561234]
sim_NM_na_babble_pd15_h15_10,The cigar burned a hole in the desk top.,play seems problem quite stupid.,1.0,0.75,[-21.86611124],[inf],[-21.86611124]
sim_NM_na_babble_pd06_h16_6,The pencils have all been used.,play seems problem quite stupid.,1.0,0.8064516129032258,[-26.2116115],[inf],[-26.2116115]
sim_NM_na_babble_pd04_h15_1,The young kid jumped the rusty gate.,sure.,1.0,0.8888888888888888,[-23.56258344],[inf],[-23.56258344]
sim_NM_na_babble_pd16_h2_1,The boy was there when the sun rose.,the boy was there when the sun.,0.375,0.16666666666666666,[-21.54501299],[inf],[-21.54501299]
sim_NM_na_babble_pd14_h18_1,Steam hissed from the broken valve.,from my phone.,0.8333333333333334,0.7142857142857143,[-24.51152065],[inf],[-24.51152065]
sim_NM_na_babble_pd16_h2_10,The girl at the booth sold fifty bonds.,the girl who.,0.875,0.717948717948718,[-25.17807007],[inf],[-25.17807007]
sim_NM_na_babble_oc17_h12_5,Burn peat after the logs give out.,the girl who.,0.8571428571428571,0.7647058823529411,[-27.14746274],[inf],[-27.14746274]
sim_NM_amp_babble_oc09_h14_1,A cramp is no small danger on a swim.,I crap is no small danger on a swim.,0.2222222222222222,0.05405405405405406,[-19.79258507],[inf],[-19.79258507]
sim_NM_amp_babble_oc17_h12_7,Weave the carpet on the right hand side.,we've the carpet on the right hand side.,0.125,0.05,[-24.84558054],[inf],[-24.84558054]
sim_NM_na_babble_oc17_h12_7,Weave the carpet on the right hand side.,we've the carpet on the right hand side.,0.125,0.05,[-21.93304918],[inf],[-21.93304918]
sim_NM_na_babble_oc07_h12_8,Hemp is a weed found in parts of the tropics.,we've the carpet on the right hand side.,1.0,0.7555555555555555,[-20.9824815],[inf],[-20.9824815]
sim_NM_amp_babble_pd16_h2_7,Smoky fires lack flame and heat.,smoky fires lack flame and heat.,0.16666666666666666,0.03125,[-24.04471374],[inf],[-24.04471374]
sim_NM_amp_babble_oc17_h12_8,Hemp is a weed found in parts of the tropics.,pampers we'd found and parts of the tropics.,0.5,0.2,[-29.03176692],[inf],[-29.03176692]
sim_NM_amp_babble_oc04_h15_2,Guess the result from the first scores.,yes the results from the first course.,0.42857142857142855,0.20512820512820512,[-26.84045616],[inf],[-26.84045616]
sim_NM_amp_babble_oc11_h15_3,A salt pickle tastes fine with ham.,so pickle tastes fine with ham.,0.2857142857142857,0.14285714285714285,[-23.44868389],[inf],[-23.44868389]
sim_NM_amp_babble_oc08_h14_8,Clothes and lodging are free to new men.,close and lodging are free to new men.,0.125,0.1,[-23.00128597],[inf],[-23.00128597]
sim_NM_amp_babble_pd11_h15_9,Mud was spattered on the front of his white shirt.,what is standard in front of what you're.,0.8,0.54,[-22.22046804],[inf],[-22.22046804]
sim_NM_amp_babble_oc07_h12_8,Hemp is a weed found in parts of the tropics.,Tampa so we've found in parts of the tropics.,0.4,0.2,[-20.14361247],[inf],[-20.14361247]
sim_NM_na_babble_oc06_h16_2,A speedy man can beat this track mark.,transformer.,1.0,0.8157894736842105,[-23.91867142],[inf],[-23.91867142]
sim_NM_amp_babble_oc05_h2_6,A pot of tea helps to pass the evening.,I'm tired of T. help Sir pass the evening.,0.5555555555555556,0.38461538461538464,[-22.08278449],[inf],[-22.08278449]
sim_NM_amp_babble_pd12_h10_1,The slush lay deep along the street.,slash three people on the street.,0.7142857142857143,0.4444444444444444,[-21.84732499],[inf],[-21.84732499]
sim_NM_na_babble_pd08_h14_6,Bring your problems to the wise chief.,remove from.,1.0,0.8157894736842105,[-24.90482412],[inf],[-24.90482412]
sim_NM_amp_babble_pd06_h16_4,The coffee stand is too high for the couch.,coffee stands to live for the house.,0.6666666666666666,0.3023255813953488,[-29.67001733],[inf],[-29.67001733]
sim_NM_amp_babble_oc05_h2_10,The girl at the booth sold fifty bonds.,the girl at the booth sold fifty bonds.,0.125,0.02564102564102564,[-20.65486573],[inf],[-20.65486573]
sim_NM_amp_babble_pd12_h10_7,The term ended in late june that year.,the term ended in late June the eighth year.,0.5,0.23684210526315788,[-21.36509342],[inf],[-21.36509342]
sim_NM_amp_babble_pd16_h2_10,The girl at the booth sold fifty bonds.,the girl at the booth sold fifty five.,0.25,0.15384615384615385,[-20.10270857],[inf],[-20.10270857]
sim_NM_amp_babble_oc02_h17_6,Wood is best for making toys and blocks.,what is best for making toys and blocks.,0.125,0.1,[-25.72215903],[inf],[-25.72215903]
sim_NM_na_babble_oc05_h2_1,The boy was there when the sun rose.,why would an error.,1.0,0.6944444444444444,[-25.69432782],[inf],[-25.69432782]
sim_NM_na_babble_oc06_h16_1,The empty flask stood on the tin tray.,M. C. slash did on the three.,0.75,0.5263157894736842,[-27.16828429],[inf],[-27.16828429]
sim_NM_na_babble_pd14_h18_9,They felt gay when the ship arrived in port.,right.,1.0,0.9090909090909091,[-25.13588714],[inf],[-25.13588714]
sim_NM_amp_babble_pd04_h15_6,Pure bred poodles have curls.,sure read poodles have curls.,0.4,0.10344827586206896,[-22.26756595],[inf],[-22.26756595]
sim_NM_amp_babble_oc05_h2_1,The boy was there when the sun rose.,the boy was there when the sun rose.,0.125,0.027777777777777776,[-25.74151091],[inf],[-25.74151091]
sim_NM_na_babble_pd05_h2_4,Kick the ball straight and follow through.,the boy was there when the sun rose.,1.1428571428571428,0.7619047619047619,[-25.68557446],[inf],[-25.68557446]
sim_NM_amp_babble_oc02_h17_4,A filing case is now hard to buy.,filing case is now her device.,0.5,0.30303030303030304,[-24.53381355],[inf],[-24.53381355]
sim_NM_na_babble_pd05_h2_2,A rod is used to catch pink salmon.,run.,1.0,0.8857142857142857,[-21.71047278],[inf],[-21.71047278]
sim_NM_amp_babble_oc09_h14_5,The glow deepened in the eyes of the sweet girl.,the glow detained in the eyes of the sweet girl.,0.2,0.08333333333333333,[-24.89923007],[inf],[-24.89923007]
sim_NM_amp_babble_pd06_h16_1,The empty flask stood on the tin tray.,M. before estimate on the ten try.,0.75,0.5263157894736842,[-22.05133154],[inf],[-22.05133154]
sim_NM_amp_babble_pd15_h15_10,The cigar burned a hole in the desk top.,Sicard burned a hole in the desktop.,0.4444444444444444,0.2,[-28.04327123],[inf],[-28.04327123]
sim_NM_na_babble_pd12_h10_10,The bill was paid every third week.,Sicard burned a hole in the desktop.,1.0,0.8571428571428571,[-28.69508373],[inf],[-28.69508373]
sim_NM_amp_babble_pd11_h15_8,The spot on the blotter was made by green ink.,start of the potter was V. type reading.,0.8,0.4782608695652174,[-18.81179029],[inf],[-18.81179029]
sim_NM_na_babble_pd15_h15_5,Those thistles bend in a high wind.,start of the potter was V. type reading.,1.1428571428571428,0.8571428571428571,[-24.73045922],[inf],[-24.73045922]
sim_NM_amp_babble_pd05_h2_2,A rod is used to catch pink salmon.,Horizon Z. catch pink salmon.,0.625,0.37142857142857144,[-24.94128037],[inf],[-24.94128037]
