wavfile,ground_truth,ASR_recognition,wer,cer
sim_oc11_habitual_nm_h15_2_ch1_70db,Guess the result from the first scores.,"Guess the result from the first scores.
",0.0,0.0
sim_pd14_habitual_nm_h18_9_ch1_70db,They felt gay when the ship arrived in port.,"They felt gay when the ship arrived in port.
",0.0,0.0
sim_pd05_habitual_nm_h2_1_ch1_70db,The boy was there when the sun rose.,"The boy was there when the sun rose.
",0.0,0.0
sim_pd12_habitual_nm_h10_9_ch1_70db,Ten pins were set in order.,"10 pins were set in order.
",0.16666666666666666,0.1111111111111111
sim_pd05_habitual_nm_h2_2_ch1_70db,A rod is used to catch pink salmon.,"Rate is usually catch pink salmon.
",0.5,0.2857142857142857
sim_pd08_habitual_nm_h14_3_ch1_70db,Pluck the bright rose without leaves.,"Plug the bright rose without leaves.
",0.16666666666666666,0.05405405405405406
sim_pd06_habitual_nm_h16_1_ch1_70db,The empty flask stood on the tin tray.,"The empty flasks stood on the tin tray.
",0.125,0.02631578947368421
sim_oc07_habitual_nm_h12_7_ch1_70db,Weave the carpet on the right hand side.,"Weave the carpet on the right hand side.
",0.0,0.0
sim_pd11_habitual_nm_h15_4_ch1_70db,The just claim got the right verdict.,"The just claim got the right verdict.
",0.0,0.0
sim_oc06_habitual_nm_h16_3_ch1_70db,He broke a new shoelace that day.,"He broke a new shoelace that day.
",0.0,0.0
sim_pd12_habitual_nm_h10_8_ch1_70db,A Tusk is used to make costly gifts.,"A task is used to make costly gifts.
",0.125,0.05555555555555555
sim_oc16_habitual_nm_h2_5_ch1_70db,Help the woman get back to her feet.,"Help the woman get back to her feet.
",0.0,0.0
sim_pd09_habitual_nm_h14_5_ch1_70db,The glow deepened in the eyes of the sweet girl.,"The glow deepened in the eyes of the sweet girl.
",0.0,0.0
sim_pd08_habitual_nm_h14_9_ch1_70db,We frown when events take a bad turn.,"We frown when events take a bad turn.
",0.0,0.0
sim_pd12_habitual_nm_h10_1_ch1_70db,The slush lay deep along the street.,"The slush lay deep along the street.
",0.0,0.0
sim_oc06_habitual_nm_h16_2_ch1_70db,A speedy man can beat this track mark.,"A speedy man can beat this track mark.
",0.0,0.0
sim_pd08_habitual_nm_h14_4_ch1_70db,Two plus seven is less than ten.,"2 + 7 is less than 10.
",0.5714285714285714,0.46875
sim_oc08_habitual_nm_h14_8_ch1_70db,Clothes and lodging are free to new men.,"Clothes and lodging are free to new men.
",0.0,0.0
sim_oc11_habitual_nm_h15_4_ch1_70db,The just claim got the right verdict.,"The just claim got the right verdict.
",0.0,0.0
sim_pd06_habitual_nm_h16_6_ch1_70db,The pencils have all been used.,"The pencils have all been used.
",0.0,0.0
sim_pd08_habitual_nm_h14_1_ch1_70db,A cramp is no small danger on a swim.,"A cramp is no small danger on the swim.
",0.1111111111111111,0.08108108108108109
sim_pd12_habitual_nm_h10_7_ch1_70db,The term ended in late june that year.,"
",1.0,1.0
sim_oc09_habitual_nm_h14_5_ch1_70db,The glow deepened in the eyes of the sweet girl.,"The glow deepened in the eyes of the sweet girl.
",0.0,0.0
sim_oc17_habitual_nm_h12_7_ch1_70db,Weave the carpet on the right hand side.,"
",1.0,1.0
sim_oc11_habitual_nm_h15_8_ch1_70db,The spot on the blotter was made by green ink.,"
",1.0,1.0
sim_pd14_habitual_nm_h18_3_ch1_70db,There was a sound of dry leaves outside.,"There was a sound of dry leaves outside.
",0.0,0.0
sim_oc05_habitual_nm_h2_4_ch1_70db,Kick the ball straight and follow through.,"Kick the ball straight and follow through.
",0.0,0.0
