wavfile,ground_truth,ASR_recognition,wer,cer,pesq
sim_NM_amp_nn_oc11_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0221141576766968
sim_NM_amp_nn_oc02_h17_8,He knew the skill of the great young actress.,"The office paint was a dull, sad tan.",1.0,0.7777777777777778,1.028681755065918
sim_NM_amp_nn_oc17_h12_4,"Split the log with a quick, sharp blow.",Split the log with a quick sharp blow.,0.125,0.02564102564102564,1.0264111757278442
sim_NM_na_nn_oc02_h17_3,Drop the two when you add the figures.,Drop the two when you add the figures.,0.0,0.0,1.0267038345336914
sim_NM_na_nn_pd16_h2_10,The girl at the booth sold fifty bonds.,.,1.0,0.9743589743589743,1.0238317251205444
sim_NM_amp_nn_pd14_h18_6,Sunday is the best part of the week.,Sunday is the best part of the week.,0.0,0.0,1.0400892496109009
sim_NM_na_nn_oc17_h12_4,"Split the log with a quick, sharp blow.",Split the log with a quick sharp blow.,0.125,0.02564102564102564,1.0225316286087036
sim_NM_amp_nn_pd09_h14_7,Write a fond note to the friend you cherish.,Where to find note to a friend you cherish.,0.4444444444444444,0.20454545454545456,1.0469890832901
sim_NM_amp_nn_pd09_h14_9,We frown when events take a bad turn.,We thrown one of events take a bad turn.,0.375,0.1891891891891892,1.0329495668411255
sim_NM_amp_nn_oc06_h16_5,The urge to write short stories is rare.,The urge to write short stories is rare.,0.0,0.0,1.0330092906951904
sim_NM_na_nn_oc05_h2_8,The soft cushion broke the man's fall.,The the soft cushion broke the man's fall.,0.14285714285714285,0.10526315789473684,1.0239574909210205
sim_NM_na_nn_oc08_h14_6,Bring your problems to the wise chief.,"Bring your problems to the wise, chief.",0.14285714285714285,0.02631578947368421,1.0259298086166382
sim_NM_na_nn_pd05_h2_8,The soft cushion broke the man's fall.,So of course you broke the man's fall.,0.5714285714285714,0.2894736842105263,1.0348665714263916
sim_NM_amp_nn_pd11_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0319749116897583
sim_NM_na_nn_oc05_h2_9,The salt breeze came across from the sea.,The soil breeze came from across the sea.,0.375,0.2682926829268293,1.0217255353927612
sim_NM_amp_nn_pd05_h2_3,The source of the huge river is the clear spring.,Source of the huge river is the clear spring.,0.2,0.10204081632653061,1.027292013168335
sim_NM_amp_nn_pd14_h18_4,The sky that morning was clear and bright blue.,The sky that morning was clear and bright blue.,0.0,0.0,1.039509654045105
sim_NM_na_nn_oc07_h12_6,He ordered peach pie with ice cream.,He ordered Peach pie with ice cream.,0.14285714285714285,0.027777777777777776,1.0220797061920166
sim_NM_amp_nn_oc05_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0309962034225464
sim_NM_amp_nn_pd08_h14_9,We frown when events take a bad turn.,We found when events take a bad turn.,0.125,0.08108108108108109,1.0464093685150146
sim_NM_amp_nn_oc07_h12_1,The bark of the pine tree was shiny and dark.,The bark of the pine tree was shiny and dark.,0.0,0.0,1.0339373350143433
sim_NM_amp_nn_oc04_h15_7,The tree top waved in a graceful way.,The treetop waved in a graceful way.,0.25,0.02702702702702703,1.038208246231079
sim_NM_na_nn_oc06_h16_2,A speedy man can beat this track mark.,A speedy man can beat this track mark.,0.0,0.0,1.0211777687072754
sim_NM_na_nn_oc17_h12_10,We find joy in the simplest things.,We find joy in the simplest things.,0.0,0.0,1.020317554473877
sim_NM_amp_nn_oc05_h2_2,A rod is used to catch pink salmon.,A rod is used to catch pink salmon.,0.0,0.0,1.0341651439666748
sim_NM_amp_nn_pd16_h2_3,The source of the huge river is the clear spring.,The source of the huge river is the clear spring.,0.0,0.0,1.0280156135559082
sim_NM_na_nn_pd15_h15_6,Pure bred poodles have curls.,Purebred poodles have curls.,0.4,0.034482758620689655,1.0249625444412231
sim_NM_na_nn_pd04_h15_8,The spot on the blotter was made by green ink.,The spot on the bladder was made by green ink.,0.1,0.06521739130434782,1.0370807647705078
sim_NM_na_nn_pd16_h2_8,The soft cushion broke the man's fall.,.,1.0,0.9736842105263158,1.0310330390930176
sim_NM_amp_nn_oc02_h17_1,The jacket hung on the back of the wide chair.,The jacket hung on the back of the wide chair.,0.0,0.0,1.1922789812088013
sim_NM_amp_nn_pd15_h15_5,Those thistles bend in a high wind.,Those thistles bend in a high wind.,0.0,0.0,1.0331175327301025
sim_NM_na_nn_pd15_h15_3,A salt pickle tastes fine with ham.,A salt pickle tastes fine with ham.,0.0,0.0,1.0291078090667725
sim_NM_na_nn_oc17_h12_3,The pennant waved when the wind blew.,The Pennant waved when the wind blew.,0.14285714285714285,0.02702702702702703,1.0200830698013306
sim_NM_amp_nn_pd11_h15_5,Those thistles bend in a high wind.,Those thistles bend in high in high wind.,0.2857142857142857,0.2,1.0322983264923096
sim_NM_amp_nn_pd01_h18_2,The child almost hurt the small dog.,.,1.0,0.9722222222222222,1.036275029182434
sim_NM_na_nn_oc08_h14_4,Two plus seven is less than ten.,2 + 7 is less than 10.,0.5714285714285714,0.46875,1.0310063362121582
sim_NM_na_nn_oc11_h15_8,The spot on the blotter was made by green ink.,The spot in the blood blotter was made by green ink.,0.2,0.15217391304347827,1.031659722328186
sim_NM_amp_nn_pd12_h10_2,A wisp of cloud hung in the blue air.,A wisp of cloud hung in the blue air.,0.0,0.0,1.0316208600997925
sim_NM_amp_nn_pd06_h16_1,The empty flask stood on the tin tray.,The empty flasks stood on the tin tray.,0.125,0.02631578947368421,1.0356276035308838
sim_NM_amp_nn_pd11_h15_9,Mud was spattered on the front of his white shirt.,Mud was spattered on the front of his white shirt.,0.0,0.0,1.042424201965332
sim_NM_amp_nn_oc17_h12_5,Burn peat after the logs give out.,Burnt Peak after the logs give out.,0.2857142857142857,0.08823529411764706,1.0287550687789917
sim_NM_na_nn_pd01_h18_9,They felt gay when the ship arrived in port.,They felt gay when the ship arrived in port.,0.0,0.0,1.0209887027740479
sim_NM_amp_nn_oc02_h17_3,Drop the two when you add the figures.,Drop the two when you add the figures.,0.0,0.0,1.0340101718902588
sim_NM_amp_nn_pd01_h18_6,Sunday is the best part of the week.,Sunday is the best part of the week.,0.0,0.0,1.03025484085083
sim_NM_amp_nn_pd04_h15_6,Pure bred poodles have curls.,Purebred poodles have curls.,0.4,0.034482758620689655,1.0232735872268677
sim_NM_amp_nn_pd05_h2_8,The soft cushion broke the man's fall.,Soft cushion broke the man's fall.,0.2857142857142857,0.13157894736842105,1.0362616777420044
sim_NM_amp_nn_pd12_h10_9,Ten pins were set in order.,10 pins were set in order.,0.16666666666666666,0.1111111111111111,1.1685429811477661
sim_NM_na_nn_pd14_h18_9,They felt gay when the ship arrived in port.,They felt gay when the ship arrived and parked.,0.2222222222222222,0.13636363636363635,1.0221257209777832
sim_NM_amp_nn_pd12_h10_8,A Tusk is used to make costly gifts.,A test is used to make costly gifts.,0.125,0.08333333333333333,1.0280895233154297
sim_NM_na_nn_oc02_h17_1,The jacket hung on the back of the wide chair.,The jacket hung on the back of the wide chair.,0.0,0.0,1.1628894805908203
sim_NM_na_nn_pd05_h2_4,Kick the ball straight and follow through.,Kick the ball straight and follow through.,0.0,0.0,1.034497857093811
sim_NM_amp_nn_oc09_h14_2,He said the same phrase thirty times.,He said the same phrase 30 times.,0.14285714285714285,0.16216216216216217,1.0288327932357788
sim_NM_na_nn_oc06_h16_9,She sewed the torn coat quite neatly.,She sewed the torn coat quite neatly.,0.0,0.0,1.0265557765960693
