Config:
	my_id = ctx-loss_3
	generator_type = resnet
	dir = ./noise_enhance
	pretrain_dir = None
	use_context_embed = False
	use_context_loss = True
	use_audio_processor = True
	use_mixed_precision = False
	use_DDP = False
	n_steps = 10000
	batch_size = 32
	lr = 0.0001
	b1 = 0.5
	b2 = 0.999
	n_cpu = 1
	sample_interval = 100
	verbose_interval = 100
	num_residual_blocks = 6
./noise_enhance
	./noise_enhance/cgan_samp_resnet_ctx-loss_3
	./noise_enhance/cgan_ckpt_resnet_ctx-loss_3
./noise_enhance/data/clean_trainset
	./noise_enhance/data/clean_testset
	./noise_enhance/data/noisy_trainset
	./noise_enhance/data/noisy_testset
./noise_enhance/data/noisy_trainset/p244_343.wav
	./noise_enhance/data/noisy_testset/p254_213.wav
Find 1 gpus available
CREATED Dataset - DataLoader
mixed precision training is OFF (torch.float32)
CREATED context_loss
CREATED adversarial_loss
CREATED ContextEncoder
input num channels =  1
CREATED ResnetGenerator
CREATED Discriminator
INIT WEIGHT
CREATED Optimizers
Model will be trained for: 10000 steps or 30 EPOCHS
[Step 0/10000] [D loss: 0.018408] [G loss: 0.019730] [CTX loss: 0.001534]
[Step 100/10000] [D loss: 0.425230] [G loss: 0.871134] [CTX loss: 0.179392]
[Step 200/10000] [D loss: 0.260391] [G loss: 0.510519] [CTX loss: 0.129839]
[Step 300/10000] [D loss: 0.260781] [G loss: 0.344170] [CTX loss: 0.116788]
[Step 400/10000] [D loss: 0.259845] [G loss: 0.308665] [CTX loss: 0.109924]
[Step 500/10000] [D loss: 0.254085] [G loss: 0.306108] [CTX loss: 0.111468]
[Step 600/10000] [D loss: 0.255660] [G loss: 0.313016] [CTX loss: 0.112265]
[Step 700/10000] [D loss: 0.248184] [G loss: 0.310262] [CTX loss: 0.113061]
[Step 800/10000] [D loss: 0.250563] [G loss: 0.317473] [CTX loss: 0.112498]
[Step 900/10000] [D loss: 0.244201] [G loss: 0.323374] [CTX loss: 0.113598]
[Step 1000/10000] [D loss: 0.247468] [G loss: 0.312492] [CTX loss: 0.111878]
[Step 1100/10000] [D loss: 0.245432] [G loss: 0.319010] [CTX loss: 0.111909]
[Step 1200/10000] [D loss: 0.248531] [G loss: 0.293206] [CTX loss: 0.109612]
[Step 1300/10000] [D loss: 0.248474] [G loss: 0.306969] [CTX loss: 0.109205]
[Step 1400/10000] [D loss: 0.248810] [G loss: 0.284045] [CTX loss: 0.108329]
[Step 1500/10000] [D loss: 0.250067] [G loss: 0.291638] [CTX loss: 0.109209]
[Step 1600/10000] [D loss: 0.250114] [G loss: 0.288938] [CTX loss: 0.109613]
[Step 1700/10000] [D loss: 0.250487] [G loss: 0.309155] [CTX loss: 0.110083]
[Step 1800/10000] [D loss: 0.249780] [G loss: 0.285889] [CTX loss: 0.108140]
[Step 1900/10000] [D loss: 0.251249] [G loss: 0.279786] [CTX loss: 0.106287]
[Step 2000/10000] [D loss: 0.248528] [G loss: 0.294530] [CTX loss: 0.108247]
[Step 2100/10000] [D loss: 0.247553] [G loss: 0.279868] [CTX loss: 0.108853]
[Step 2200/10000] [D loss: 0.251697] [G loss: 0.288079] [CTX loss: 0.107061]
[Step 2300/10000] [D loss: 0.246038] [G loss: 0.282501] [CTX loss: 0.106797]
[Step 2400/10000] [D loss: 0.246731] [G loss: 0.303975] [CTX loss: 0.108232]
[Step 2500/10000] [D loss: 0.244628] [G loss: 0.292513] [CTX loss: 0.106679]
[Step 2600/10000] [D loss: 0.246196] [G loss: 0.303433] [CTX loss: 0.106213]
[Step 2700/10000] [D loss: 0.248145] [G loss: 0.287675] [CTX loss: 0.105853]
[Step 2800/10000] [D loss: 0.251207] [G loss: 0.283688] [CTX loss: 0.104826]
[Step 2900/10000] [D loss: 0.247960] [G loss: 0.277464] [CTX loss: 0.103907]
[Step 3000/10000] [D loss: 0.246449] [G loss: 0.294147] [CTX loss: 0.105497]
[Step 3100/10000] [D loss: 0.240371] [G loss: 0.334755] [CTX loss: 0.110019]
[Step 3200/10000] [D loss: 0.248841] [G loss: 0.313952] [CTX loss: 0.105693]
[Step 3300/10000] [D loss: 0.239959] [G loss: 0.303496] [CTX loss: 0.107560]
[Step 3400/10000] [D loss: 0.239928] [G loss: 0.325639] [CTX loss: 0.109082]
[Step 3500/10000] [D loss: 0.239305] [G loss: 0.310156] [CTX loss: 0.107717]
[Step 3600/10000] [D loss: 0.248730] [G loss: 0.311421] [CTX loss: 0.105200]
[Step 3700/10000] [D loss: 0.239079] [G loss: 0.305644] [CTX loss: 0.106330]
[Step 3800/10000] [D loss: 0.244539] [G loss: 0.294877] [CTX loss: 0.105473]
[Step 3900/10000] [D loss: 0.240957] [G loss: 0.306042] [CTX loss: 0.107460]
[Step 4000/10000] [D loss: 0.242793] [G loss: 0.302805] [CTX loss: 0.105878]
[Step 4100/10000] [D loss: 0.241691] [G loss: 0.295786] [CTX loss: 0.103675]
[Step 4200/10000] [D loss: 0.243897] [G loss: 0.300390] [CTX loss: 0.104339]
[Step 4300/10000] [D loss: 0.246829] [G loss: 0.306607] [CTX loss: 0.104191]
[Step 4400/10000] [D loss: 0.241636] [G loss: 0.297201] [CTX loss: 0.104633]
[Step 4500/10000] [D loss: 0.242831] [G loss: 0.294313] [CTX loss: 0.104177]
[Step 4600/10000] [D loss: 0.244276] [G loss: 0.304141] [CTX loss: 0.103300]
[Step 4700/10000] [D loss: 0.244461] [G loss: 0.309439] [CTX loss: 0.103227]
[Step 4800/10000] [D loss: 0.242310] [G loss: 0.290828] [CTX loss: 0.102365]
[Step 4900/10000] [D loss: 0.239420] [G loss: 0.322982] [CTX loss: 0.105659]
[Step 5000/10000] [D loss: 0.239999] [G loss: 0.306179] [CTX loss: 0.104057]
[Step 5100/10000] [D loss: 0.240494] [G loss: 0.301807] [CTX loss: 0.103418]
[Step 5200/10000] [D loss: 0.240622] [G loss: 0.301391] [CTX loss: 0.101821]
[Step 5300/10000] [D loss: 0.242296] [G loss: 0.306804] [CTX loss: 0.101691]
[Step 5400/10000] [D loss: 0.238867] [G loss: 0.309327] [CTX loss: 0.102402]
[Step 5500/10000] [D loss: 0.240368] [G loss: 0.313668] [CTX loss: 0.103010]
[Step 5600/10000] [D loss: 0.236318] [G loss: 0.310713] [CTX loss: 0.102628]
[Step 5700/10000] [D loss: 0.235513] [G loss: 0.316340] [CTX loss: 0.103975]
[Step 5800/10000] [D loss: 0.233530] [G loss: 0.331844] [CTX loss: 0.102592]
[Step 5900/10000] [D loss: 0.233619] [G loss: 0.351046] [CTX loss: 0.102240]
[Step 6000/10000] [D loss: 0.226333] [G loss: 0.336989] [CTX loss: 0.102365]
