wavfile,ground_truth,ASR_recognition,wer,cer,pesq
sim_NM_amp_babble_pd12_h10_5,The play seems dull and quite stupid.,Play seems stolen. Quite stupid.,0.7142857142857143,0.32432432432432434,1.031092643737793
sim_NM_na_babble_pd15_h15_10,The cigar burned a hole in the desk top.,Gary Burns hold the desktop.,0.8888888888888888,0.45,1.0278874635696411
sim_NM_na_babble_pd06_h16_6,The pencils have all been used.,The coaches have all been used.,0.16666666666666666,0.16129032258064516,1.0365113019943237
sim_NM_na_babble_pd04_h15_1,The young kid jumped the rusty gate.,Shut the rusty gate.,0.5714285714285714,0.5,1.0305873155593872
sim_NM_na_babble_pd16_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0350619554519653
sim_NM_na_babble_pd14_h18_1,Steam hissed from the broken valve.,Steam test from the Vulcan valve.,0.3333333333333333,0.2857142857142857,1.0304609537124634
sim_NM_na_babble_pd16_h2_10,The girl at the booth sold fifty bonds.,The girl at the booth sold 50 bones.,0.25,0.15384615384615385,1.0227866172790527
sim_NM_na_babble_oc17_h12_5,Burn peat after the logs give out.,Burnt Peak after the logs give up.,0.42857142857142855,0.14705882352941177,1.0636565685272217
sim_NM_amp_babble_oc09_h14_1,A cramp is no small danger on a swim.,A cramp is no small danger on a swim.,0.0,0.0,1.0342941284179688
sim_NM_amp_babble_oc17_h12_7,Weave the carpet on the right hand side.,Weave the carpet on the right hand side.,0.0,0.0,1.037426233291626
sim_NM_na_babble_oc17_h12_7,Weave the carpet on the right hand side.,We need the carpet on the right hand side.,0.25,0.1,1.0302196741104126
sim_NM_na_babble_oc07_h12_8,Hemp is a weed found in parts of the tropics.,Temperature will be found in parts of the tropics.,0.4,0.3111111111111111,1.0289862155914307
sim_NM_amp_babble_pd16_h2_7,Smoky fires lack flame and heat.,Smoky fires lacked flame and heat.,0.16666666666666666,0.0625,1.0296300649642944
sim_NM_amp_babble_oc17_h12_8,Hemp is a weed found in parts of the tropics.,Hemp is weed found in parts of the tropics.,0.1,0.044444444444444446,1.035292148590088
sim_NM_amp_babble_oc04_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0240181684494019
sim_NM_amp_babble_oc11_h15_3,A salt pickle tastes fine with ham.,Assault pickle tastes fine with ham.,0.2857142857142857,0.05714285714285714,1.033159613609314
sim_NM_amp_babble_oc08_h14_8,Clothes and lodging are free to new men.,Clothes and lodging are free to new men.,0.0,0.0,1.040375828742981
sim_NM_amp_babble_pd11_h15_9,Mud was spattered on the front of his white shirt.,Michael spattered on the front of his white shirt.,0.2,0.12,1.041589379310608
sim_NM_amp_babble_oc07_h12_8,Hemp is a weed found in parts of the tropics.,Hemp is a weed found in parts of the tropics.,0.0,0.0,1.0379213094711304
sim_NM_na_babble_oc06_h16_2,A speedy man can beat this track mark.,Speedy man can beat this track mark.,0.25,0.07894736842105263,1.0252463817596436
sim_NM_amp_babble_oc05_h2_6,A pot of tea helps to pass the evening.,A pot of tea helps to pass the evening.,0.0,0.0,1.0349724292755127
sim_NM_amp_babble_pd12_h10_1,The slush lay deep along the street.,The slush lay deep along the street.,0.0,0.0,1.0274173021316528
sim_NM_na_babble_pd08_h14_6,Bring your problems to the wise chief.,"Bring your problems to the wise, chief.",0.14285714285714285,0.02631578947368421,1.0337637662887573
sim_NM_amp_babble_pd06_h16_4,The coffee stand is too high for the couch.,The coffee stand is too high for the couch.,0.0,0.0,1.0284520387649536
sim_NM_amp_babble_oc05_h2_10,The girl at the booth sold fifty bonds.,The girl at the booth sold 50 bonds.,0.125,0.1282051282051282,1.0242153406143188
sim_NM_amp_babble_pd12_h10_7,The term ended in late june that year.,.,1.0,0.9736842105263158,1.038306713104248
sim_NM_amp_babble_pd16_h2_10,The girl at the booth sold fifty bonds.,The girl at the booth sold 50 bonds.,0.125,0.1282051282051282,1.0318183898925781
sim_NM_amp_babble_oc02_h17_6,Wood is best for making toys and blocks.,What is best for making toys and blocks.,0.125,0.075,1.0332839488983154
sim_NM_na_babble_oc05_h2_1,The boy was there when the sun rose.,.,1.0,0.9722222222222222,1.0264561176300049
sim_NM_na_babble_oc06_h16_1,The empty flask stood on the tin tray.,The empty flasks stood on the tin tray.,0.125,0.02631578947368421,1.0300109386444092
sim_NM_na_babble_pd14_h18_9,They felt gay when the ship arrived in port.,They felt guilty when the ship arrived in Clark.,0.2222222222222222,0.18181818181818182,1.0263314247131348
sim_NM_amp_babble_pd04_h15_6,Pure bred poodles have curls.,Purebred poodles have curls.,0.4,0.034482758620689655,1.0288448333740234
sim_NM_amp_babble_oc05_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0343801975250244
sim_NM_na_babble_pd05_h2_4,Kick the ball straight and follow through.,Football stream and follow through.,0.5714285714285714,0.30952380952380953,1.0289331674575806
sim_NM_amp_babble_oc02_h17_4,A filing case is now hard to buy.,A filing case is now hard to buy.,0.0,0.0,1.0369491577148438
sim_NM_na_babble_pd05_h2_2,A rod is used to catch pink salmon.,Roses and catch print sandal.,0.875,0.5142857142857142,1.0289760828018188
sim_NM_amp_babble_oc09_h14_5,The glow deepened in the eyes of the sweet girl.,The glow deepened in the eyes of the sweet girl.,0.0,0.0,1.0306116342544556
sim_NM_amp_babble_pd06_h16_1,The empty flask stood on the tin tray.,The empty flasks stood on the tin tray.,0.125,0.02631578947368421,1.034538745880127
sim_NM_amp_babble_pd15_h15_10,The cigar burned a hole in the desk top.,This is a guy burned a hole in the desktop.,0.6666666666666666,0.25,1.0416806936264038
sim_NM_na_babble_pd12_h10_10,The bill was paid every third week.,The bill was paid every 3rd week.,0.14285714285714285,0.08571428571428572,1.030390739440918
sim_NM_amp_babble_pd11_h15_8,The spot on the blotter was made by green ink.,Spat on the platter was made by green ink.,0.3,0.17391304347826086,1.0440610647201538
sim_NM_na_babble_pd15_h15_5,Those thistles bend in a high wind.,This was banned in a high wind.,0.42857142857142855,0.34285714285714286,1.0293493270874023
sim_NM_amp_babble_pd05_h2_2,A rod is used to catch pink salmon.,Gradually catch pink salmon.,0.625,0.37142857142857144,1.033940315246582
sim_NM_na_babble_oc06_h16_10,The sofa cushion is red and of light weight.,The SOFA cushion is red and of light weight.,0.1111111111111111,0.09090909090909091,1.0361639261245728
sim_NM_amp_babble_pd09_h14_1,A cramp is no small danger on a swim.,A cramp is no small danger kind of swim.,0.2222222222222222,0.13513513513513514,1.0317935943603516
sim_NM_amp_babble_oc05_h2_2,A rod is used to catch pink salmon.,A rod is used to catch pink salmon.,0.0,0.0,1.041305661201477
sim_NM_amp_babble_oc06_h16_10,The sofa cushion is red and of light weight.,The SOFA cushion is red and of light weight.,0.1111111111111111,0.09090909090909091,1.0436482429504395
sim_NM_amp_babble_oc04_h15_7,The tree top waved in a graceful way.,The treetop waved in a graceful way.,0.25,0.02702702702702703,1.0478601455688477
sim_NM_amp_babble_oc16_h2_8,The soft cushion broke the man's fall.,The soft cushion broke the man's fall.,0.0,0.0,1.027673602104187
sim_NM_amp_babble_oc17_h12_10,We find joy in the simplest things.,We find joy in the simplest things.,0.0,0.0,1.0217549800872803
sim_NM_na_babble_pd15_h15_4,The just claim got the right verdict.,"Pictures of Frank, right verdict.",0.7142857142857143,0.5405405405405406,1.0312880277633667
sim_NM_na_babble_pd14_h18_2,The child almost hurt the small dog.,The child almost hurt the small dog.,0.0,0.0,1.0285149812698364
