LIST,SENTENCE,KEYWORD_01,KEYWORD_02,KEYWORD_03,KEYWORD_04,KEYWORD_05,NOTES
1,1. The birch canoe slid on the smooth planks.,birch,canoe,slid,smooth,planks,
1,2. Glue the sheet to the dark blue background.,glue,sheet,dark,blue,background,
1,3. It's easy to tell the depth of a well.,it's,easy,tell,depth,well,
1,4. These days a chicken leg is a rare dish.,days,chicken,leg,rare,dish,
1,5. Rice is often served in round bowls.,rice,often,served,round,bowls,
1,6. The juice of lemons makes fine punch.,juice,lemons,makes,fine,punch,
1,7. The box was thrown beside the parked truck.,box,thrown,beside,parked,truck,
1,8. The hogs were fed chopped corn and garbage.,hogs,fed,chopped,corn,garbage,
1,9. Four hours of steady work faced us.,four|for|4,hours,steady,work,faced,
1,10. A large size in stockings is hard to sell.,large,size,stockings,hard,sell,
2,1. The boy was there when the sun rose.,boy,there,when,sun,rose,
2,2. A rod is used to catch pink salmon.,rod,used,catch,pink,salmon,
2,3. The source of the huge river is the clear spring.,source,huge,river,clear,spring,
2,4. Kick the ball straight and follow through.,kick,ball,straight,follow,through,
2,5. Help the woman get back to her feet.,help,woman,get,back,feet,
2,6. A pot of tea helps to pass the evening.,pot,tea,helps,pass,evening,
2,7. Smoky fires lack flame and heat.,smoky|smokey,fires,lack,flame,heat,
2,8. The soft cushion broke the man's fall.,soft,cushion,broke,man's,fall,
2,9. The salt breeze came across from the sea.,salt,breeze,came,across,sea|see,
2,10. The girl at the booth sold fifty bonds.,girl,booth,sold,fifty|50,bonds,
3,1. The small pup gnawed a hole in the sock.,small,pup,gnawed,hole,sock,
3,2. The fish twisted and turned on the bent hook.,fish,twisted,turned,bent,hook,
3,3. Press the pants and sew a button on the vest.,press,pants,sew|sow,button,vest,
3,4. The swan dive was far short of perfect.,swan,dive,far,short,perfect,
3,5. The beauty of the view stunned the young boy.,beauty,view,stunned,young,boy,
3,6. Two blue fish swam in the tank.,two|to|too|2,blue,fish,swam,tank,
3,7. Her purse was full of useless trash.,purse,was,full,useless,trash,
3,8. The colt reared and threw the tall rider.,colt,reared,threw|through,tall,rider,
3,"9. It snowed, rained, and hailed the same morning.",snowed,rained,hailed,same,morning,
3,10. Read verse out loud for pleasure.,read|reed,verse,out,loud,pleasure,
4,1. Hoist the load to your left shoulder.,hoist,load,your|you're,left,shoulder,
4,2. Take the winding path to reach the lake.,take,winding,path,reach,lake,
4,3. Note closely the size of the gas tank.,note,closely,size,gas,tank,
4,4. Wipe the grease off his dirty face.,wipe,grease,his,dirty,face,
4,5. Mend the coat before you go out.,mend,coat,before,you,go,
4,6. The wrist was badly strained and hung limp.,wrist,badly,strained,hung,limp,
4,7. The stray cat gave birth to kittens.,stray,cat,gave,birth,kittens,
4,8. The young girl gave no clear response.,young,girl,gave,clear,response,
4,9. The meal was cooked before the bell rang.,meal,cooked,before,bell,rang,
4,10. What joy there is in living.,what,joy,there|they're|their,is,living,
5,1. A king ruled the state in the early days.,king,ruled,state,early,days,
5,2. The ship was torn apart on the sharp reef.,ship,torn,apart,sharp,reef,
5,3. Sickness kept him home the third week.,sickness,kept,home,third,week,
5,4. The wide road shimmered in the hot sun.,wide,road,shimmered,hot,sun,
5,5. The lazy cow lay in the cool grass.,lazy,cow,lay,cool,grass,
5,6. Lift the square stone over the fence.,lift,square,stone,over,fence,
5,7. The rope will bind the seven books at once.,rope,bind,seven|7,books,once,
5,8. Hop over the fence and plunge in.,hop,over,fence,plunge,in,
5,9. The friendly gang left the drug store.,friendly,gang,left,drug,store,
5,10. Mesh wire keeps chicks inside.,mesh,wire,keeps,chicks,inside,
6,1. The frosty air passed through the coat.,frosty,air,passed|past,through,coat,
6,2. The crooked maze failed to fool the mouse.,crooked,maze,failed,fool,mouse,
6,3. Adding fast leads to wrong sums.,adding,fast,leads,wrong,sums,
6,4. The show was a flop from the very start.,show,was,flop,very,start,
6,5. A saw is a tool used for making boards.,saw,tool,used,making,boards,
6,6. The wagon moved on well oiled wheels.,wagon,moved,well,oiled,wheels,
