wavfile,ground_truth,ASR_recognition,wer,cer,sdr,sir,sar
sim_NM_amp_nn_oc11_h15_2,Guess the result from the first scores.,yes the results from the first scores.,0.2857142857142857,0.10256410256410256,[-27.78316375],[inf],[-27.78316375]
sim_NM_amp_nn_oc02_h17_8,He knew the skill of the great young actress.,the office paint was a doll said ten.,1.0,0.7555555555555555,[-25.98885669],[inf],[-25.98885669]
sim_NM_amp_nn_oc17_h12_4,"Split the log with a quick, sharp blow.",split the log with a quick sure below.,0.5,0.15384615384615385,[-28.6062536],[inf],[-28.6062536]
sim_NM_na_nn_oc02_h17_3,Drop the two when you add the figures.,dropped it to when you add the figures.,0.375,0.21052631578947367,[-28.87450073],[inf],[-28.87450073]
sim_NM_na_nn_pd16_h2_10,The girl at the booth sold fifty bonds.,the girl at the booth sold fifty bonds.,0.125,0.02564102564102564,[-27.14764649],[inf],[-27.14764649]
sim_NM_amp_nn_pd14_h18_6,Sunday is the best part of the week.,Sunday is the best part of the week.,0.0,0.0,[-21.84771784],[inf],[-21.84771784]
sim_NM_na_nn_oc17_h12_4,"Split the log with a quick, sharp blow.",split the log with a quick sure below.,0.5,0.15384615384615385,[-27.6173656],[inf],[-27.6173656]
sim_NM_amp_nn_pd09_h14_7,Write a fond note to the friend you cherish.,right a fine no to a friend you cherish.,0.4444444444444444,0.25,[-25.04948385],[inf],[-25.04948385]
sim_NM_amp_nn_pd09_h14_9,We frown when events take a bad turn.,the phone when they have events take a bad turn.,0.5,0.43243243243243246,[-22.6072118],[inf],[-22.6072118]
sim_NM_amp_nn_oc06_h16_5,The urge to write short stories is rare.,the urge to write short stories is rare.,0.125,0.025,[-24.29259433],[inf],[-24.29259433]
sim_NM_na_nn_oc05_h2_8,The soft cushion broke the man's fall.,bush the soft cushion broke the man's fall.,0.2857142857142857,0.15789473684210525,[-24.32446069],[inf],[-24.32446069]
sim_NM_na_nn_oc08_h14_6,Bring your problems to the wise chief.,bring your problems to the Weiss chief.,0.2857142857142857,0.10526315789473684,[-28.99059073],[inf],[-28.99059073]
sim_NM_na_nn_pd05_h2_8,The soft cushion broke the man's fall.,so I'm cushion broke the man's fall.,0.2857142857142857,0.18421052631578946,[-24.89427065],[inf],[-24.89427065]
sim_NM_amp_nn_pd11_h15_2,Guess the result from the first scores.,guess result from the first scores.,0.2857142857142857,0.1282051282051282,[-28.98034621],[inf],[-28.98034621]
sim_NM_na_nn_oc05_h2_9,The salt breeze came across from the sea.,this will grease came from across the C..,0.75,0.4878048780487805,[-24.82505059],[inf],[-24.82505059]
sim_NM_amp_nn_pd05_h2_3,The source of the huge river is the clear spring.,source of the who's river is a clear spring.,0.3,0.22448979591836735,[-24.52833958],[inf],[-24.52833958]
sim_NM_amp_nn_pd14_h18_4,The sky that morning was clear and bright blue.,the sky that morning was clear and bright blue.,0.1111111111111111,0.02127659574468085,[-27.8657147],[inf],[-27.8657147]
sim_NM_na_nn_oc07_h12_6,He ordered peach pie with ice cream.,he ordered peach pie with ice cream.,0.14285714285714285,0.027777777777777776,[-21.09566722],[inf],[-21.09566722]
sim_NM_amp_nn_oc05_h2_1,The boy was there when the sun rose.,the boy was there when the sun rose.,0.125,0.027777777777777776,[-25.30453859],[inf],[-25.30453859]
sim_NM_amp_nn_pd08_h14_9,We frown when events take a bad turn.,we found when your friends take a bad turn.,0.5,0.35135135135135137,[-28.05818024],[inf],[-28.05818024]
sim_NM_amp_nn_oc07_h12_1,The bark of the pine tree was shiny and dark.,the bulk of the pine tree was shiny and dark.,0.2,0.06666666666666667,[-21.36951833],[inf],[-21.36951833]
sim_NM_amp_nn_oc04_h15_7,The tree top waved in a graceful way.,the treetop waved in a graceful way.,0.375,0.05405405405405406,[-22.76101115],[inf],[-22.76101115]
sim_NM_na_nn_oc06_h16_2,A speedy man can beat this track mark.,a speeding man can beat this track mark.,0.25,0.10526315789473684,[-25.13840377],[inf],[-25.13840377]
sim_NM_na_nn_oc17_h12_10,We find joy in the simplest things.,we find joy in the simplest thing.,0.2857142857142857,0.05714285714285714,[-22.08510866],[inf],[-22.08510866]
sim_NM_amp_nn_oc05_h2_2,A rod is used to catch pink salmon.,I rod is used to catch pink salmon.,0.125,0.02857142857142857,[-18.63575565],[inf],[-18.63575565]
sim_NM_amp_nn_pd16_h2_3,The source of the huge river is the clear spring.,the source of the huge river is a clear spring.,0.2,0.08163265306122448,[-29.35412818],[inf],[-29.35412818]
sim_NM_na_nn_pd15_h15_6,Pure bred poodles have curls.,pure bred poodles have curls.,0.2,0.034482758620689655,[-30.17439858],[inf],[-30.17439858]
sim_NM_na_nn_pd04_h15_8,The spot on the blotter was made by green ink.,spot on the bladder was made by agreement.,0.4,0.2608695652173913,[-25.93808634],[inf],[-25.93808634]
sim_NM_na_nn_pd16_h2_8,The soft cushion broke the man's fall.,the soft cushion broke the man's fall.,0.14285714285714285,0.02631578947368421,[-30.09914402],[inf],[-30.09914402]
sim_NM_amp_nn_oc02_h17_1,The jacket hung on the back of the wide chair.,the jacket hung on the back of the white Cher.,0.3,0.13043478260869565,[-27.80618858],[inf],[-27.80618858]
sim_NM_amp_nn_pd15_h15_5,Those thistles bend in a high wind.,hostesses band in a high wind.,0.42857142857142855,0.22857142857142856,[-25.15331568],[inf],[-25.15331568]
sim_NM_na_nn_pd15_h15_3,A salt pickle tastes fine with ham.,I sell pickle tastes fine with ham.,0.2857142857142857,0.08571428571428572,[-27.26647281],[inf],[-27.26647281]
sim_NM_na_nn_oc17_h12_3,The pennant waved when the wind blew.,pendant weighed when the wind blew.,0.42857142857142855,0.24324324324324326,[-26.90182235],[inf],[-26.90182235]
sim_NM_amp_nn_pd11_h15_5,Those thistles bend in a high wind.,so specials bend in Ohio in the highway and.,1.0,0.7428571428571429,[-27.00316643],[inf],[-27.00316643]
sim_NM_amp_nn_pd01_h18_2,The child almost hurt the small dog.,a child almost hurt the small dog.,0.14285714285714285,0.08333333333333333,[-27.02254065],[inf],[-27.02254065]
sim_NM_na_nn_oc08_h14_4,Two plus seven is less than ten.,two plus seven is less than ten.,0.14285714285714285,0.03125,[-22.51595229],[inf],[-22.51595229]
sim_NM_na_nn_oc11_h15_8,The spot on the blotter was made by green ink.,spot allowed water was made by green in.,0.5,0.32608695652173914,[-29.84347272],[inf],[-29.84347272]
sim_NM_amp_nn_pd12_h10_2,A wisp of cloud hung in the blue air.,a list of cloud hung in the blue err.,0.3333333333333333,0.13513513513513514,[-25.67436579],[inf],[-25.67436579]
sim_NM_amp_nn_pd06_h16_1,The empty flask stood on the tin tray.,the empty flustered on the ten tray.,0.5,0.23684210526315788,[-22.07848488],[inf],[-22.07848488]
sim_NM_amp_nn_pd11_h15_9,Mud was spattered on the front of his white shirt.,what is standard and the front of the others white shirt.,0.6,0.42,[-22.54029869],[inf],[-22.54029869]
sim_NM_amp_nn_oc17_h12_5,Burn peat after the logs give out.,burnt Pete after the logs give out.,0.2857142857142857,0.14705882352941177,[-30.06776696],[inf],[-30.06776696]
sim_NM_na_nn_pd01_h18_9,They felt gay when the ship arrived in port.,it's okay when they ship arrived and poured.,0.6666666666666666,0.36363636363636365,[-26.23241129],[inf],[-26.23241129]
sim_NM_amp_nn_oc02_h17_3,Drop the two when you add the figures.,dropped it to when you add the figures.,0.375,0.21052631578947367,[-28.64079717],[inf],[-28.64079717]
sim_NM_amp_nn_pd01_h18_6,Sunday is the best part of the week.,Sunday is the best part of the week.,0.0,0.0,[-24.62918051],[inf],[-24.62918051]
sim_NM_amp_nn_pd04_h15_6,Pure bred poodles have curls.,purebred poodles have curls.,0.4,0.06896551724137931,[-22.15752784],[inf],[-22.15752784]
sim_NM_amp_nn_pd05_h2_8,The soft cushion broke the man's fall.,south cushion broke the man's fall.,0.2857142857142857,0.15789473684210525,[-26.56320325],[inf],[-26.56320325]
sim_NM_amp_nn_pd12_h10_9,Ten pins were set in order.,ten pins were set in order.,0.16666666666666666,0.037037037037037035,[-29.48223416],[inf],[-29.48223416]
sim_NM_na_nn_pd14_h18_9,They felt gay when the ship arrived in port.,they felt eight one not ship arrived in port.,0.4444444444444444,0.25,[-27.51454255],[inf],[-27.51454255]
sim_NM_amp_nn_pd12_h10_8,A Tusk is used to make costly gifts.,a test is used to make costly gives.,0.375,0.16666666666666666,[-22.06296861],[inf],[-22.06296861]
sim_NM_na_nn_oc02_h17_1,The jacket hung on the back of the wide chair.,the jacket hung on the back of the white Cher.,0.3,0.13043478260869565,[-21.38678241],[inf],[-21.38678241]
sim_NM_na_nn_pd05_h2_4,Kick the ball straight and follow through.,keep the ball straight and follow through.,0.14285714285714285,0.09523809523809523,[-24.09041875],[inf],[-24.09041875]
sim_NM_amp_nn_oc09_h14_2,He said the same phrase thirty times.,he said the same praise thirty times.,0.2857142857142857,0.08108108108108109,[-18.82623353],[inf],[-18.82623353]
sim_NM_na_nn_oc06_h16_9,She sewed the torn coat quite neatly.,she sold the torn coat quite neatly.,0.2857142857142857,0.10810810810810811,[-19.22187199],[inf],[-19.22187199]
sim_NM_na_nn_pd15_h15_10,The cigar burned a hole in the desk top.,is it R. burn a hole in the desktop.,0.6666666666666666,0.275,[-27.99029287],[inf],[-27.99029287]
sim_NM_na_nn_pd08_h14_4,Two plus seven is less than ten.,two plus seven is less than ten.,0.14285714285714285,0.03125,[-23.516866],[inf],[-23.516866]
sim_NM_amp_nn_pd06_h16_2,A speedy man can beat this track mark.,a speedy man can be is this track mark.,0.375,0.10526315789473684,[-28.57724853],[inf],[-28.57724853]
